runId,createdAtIso,pairingId,condition,turnsRequested,maxIters,turnsCompleted,loopIterationsTotal,loopTurnIterationsPresent,totalLatencyMs,questionId,bloomLevel,difficulty,topicTag,courseLevel,skillTag,choicesCount,correctChoiceIndex,problemStatementLength,referenceAnswerLength,transcriptMessages,transcriptStudentMessages,transcriptTutorMessages,transcriptCharsTotal,transcriptCharsStudent,transcriptCharsTutor,studentTurns,attackLevelMin,attackLevelMax,attackLevelMean,turnJudgmentsCount,tutorDraftsCount,supervisorVerdictsCount,callsCount,callErrorsCount,callsGenerateText,callsGenerateObject,callDurationSumMs,usageInputTokensSum,usageOutputTokensSum,usageTotalTokensSum,usageReasoningTokensSum,usageCachedInputTokensSum,judgeLeakage,judgeHallucination,judgeCompliance
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gpt,dual-loop,6,5,1,1,True,10295,canterbury-633296,1,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,2,123,24,2,1,1,620,213,407,1,1,1,1.0,1,1,1,5,0,1,4,10294,4549,721,5270,127,0,True,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gpt,dual-loop,6,5,6,7,True,106621,canterbury-630974,2,easy,TopicSimon-LogicalOperators,CS1,Skill-ExplainCode,5,3,285,445,12,6,6,4587,2166,2421,6,1,6,3.5,6,7,7,27,0,7,20,106617,38475,5605,44080,2698,7808,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-single,single,6,5,6,,False,35165,canterbury-633296,1,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,2,123,24,12,6,6,4674,2481,2193,6,1,6,3.5,6,0,0,19,0,6,13,35158,26957,2336,29293,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gemini,dual-loop,6,5,6,6,True,42798,canterbury-633296,1,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,2,123,24,12,6,6,4632,2459,2173,6,1,6,3.5,6,6,6,25,0,6,19,42796,34645,2718,37363,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gpt,dual-loop,6,5,6,6,True,109308,canterbury-633296,1,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,2,123,24,12,6,6,4565,2515,2050,6,1,6,3.5,6,6,6,25,0,6,19,109305,34541,6043,40584,3319,6144,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-single,single,6,5,6,,False,71110,canterbury-633572,2,easy,TopicSimon-Assignment,CS1,Skill-Trace_IncludesExpressions,5,3,122,125,12,6,6,4249,2134,2115,6,1,6,3.5,6,0,0,19,0,6,13,71108,27813,4041,31854,1831,1280,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gemini,dual-loop,6,5,6,8,True,106275,canterbury-633296,1,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,2,123,24,12,6,6,4418,2340,2078,6,1,6,3.5,6,8,8,29,0,8,21,106269,38116,5845,43961,2553,1024,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-single,single,6,5,6,,False,32129,canterbury-633572,2,easy,TopicSimon-Assignment,CS1,Skill-Trace_IncludesExpressions,5,3,122,125,12,6,6,4459,2116,2343,6,1,6,3.5,6,0,0,19,0,6,13,32127,26971,2092,29063,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gemini,dual-loop,6,5,6,6,True,80848,canterbury-633572,2,easy,TopicSimon-Assignment,CS1,Skill-Trace_IncludesExpressions,5,3,122,125,12,6,6,4522,2249,2273,6,1,6,3.5,6,6,6,25,0,6,19,80845,35232,4325,39557,1647,1024,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gemini,dual-loop,6,5,6,6,True,41977,canterbury-633572,2,easy,TopicSimon-Assignment,CS1,Skill-Trace_IncludesExpressions,5,3,122,125,12,6,6,4008,1995,2013,6,1,6,3.5,6,6,6,25,0,6,19,41973,34052,2521,36573,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gpt,dual-loop,6,5,6,7,True,73481,canterbury-633572,2,easy,TopicSimon-Assignment,CS1,Skill-Trace_IncludesExpressions,5,3,122,125,12,6,6,4375,1967,2408,6,1,6,3.5,6,7,7,27,0,7,20,73470,37134,4070,41204,1163,3584,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gpt,dual-loop,6,5,2,2,True,31038,canterbury-634940,3,hard,TopicSimon-ArithmeticOperators,CS2,Skill-Trace_IncludesExpressions,4,3,522,211,4,2,2,1307,485,822,2,1,2,1.5,2,2,2,9,0,2,7,31037,10397,1729,12126,647,0,True,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-single,single,6,5,5,,False,70156,canterbury-634940,3,hard,TopicSimon-ArithmeticOperators,CS2,Skill-Trace_IncludesExpressions,4,3,522,211,10,5,5,3817,1869,1948,5,1,5,3.0,5,0,0,16,0,5,11,70153,23601,4000,27601,2030,2304,True,True,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-single,single,6,5,6,,False,33321,canterbury-634940,3,hard,TopicSimon-ArithmeticOperators,CS2,Skill-Trace_IncludesExpressions,4,3,522,211,12,6,6,4867,2411,2456,6,1,6,3.5,6,0,0,19,0,6,13,33320,30765,2254,33019,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-single,single,6,5,1,,False,8146,canterbury-634431,1,easy,TopicSimon-Arrays,CS2,Skill-PureKnowledgeRecall,4,1,206,424,2,1,1,572,145,427,1,1,1,1.0,1,0,0,4,0,1,3,8145,3624,404,4028,27,0,True,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gpt,dual-loop,6,5,6,8,True,195179,canterbury-633572,2,easy,TopicSimon-Assignment,CS1,Skill-Trace_IncludesExpressions,5,3,122,125,12,6,6,4458,2237,2221,6,1,6,3.5,6,8,8,29,0,8,21,195174,40513,10324,50837,6701,8704,False,False,True
